DrugBank ID,Name,CAS Number,PubChem Compound ID,PubChem_CID,CAS_Rn0,CAS_Rn1,CAS_Rn2,CAS_Rn3,CAS_Rn4,CAS_Rn5,CAS_Rn6,CAS_Rn7,CAS_Rn8,CAS_Rn9,CAS_Rn10
DB00483,Gallamine triethiodide,65-29-2,6172.0,6172,65-29-2,,,,,,,,,,
DB00484,Brimonidine,59803-98-4,2435.0,2435,59803-98-4,,,,,,,,,,
DB00485,Dicloxacillin,3116-76-5,18381.0,18381,3116-76-5,,,,,,,,,,
DB00486,Nabilone,51022-71-0,5284592.0,5284592,51022-71-0,,,,,,,,,,
DB00487,Pefloxacin,70458-92-3,51081.0,51081,70458-92-3,,,,,,,,,,
DB00488,Altretamine,645-05-6,2123.0,2123,645-05-6,,,,,,,,,,
DB00489,Sotalol,3930-20-9,5253.0,5253,3930-20-9,,,,,,,,,,
DB00490,Buspirone,36505-84-7,2477.0,2477,36505-84-7,,,,,,,,,,
DB00491,Miglitol,72432-03-2,441314.0,441314,72432-03-2,,,,,,,,,,
DB00492,Fosinopril,98048-97-6,55891.0,9601226,98048-97-6,,,,,,,,,,
DB00493,Cefotaxime,63527-52-6,5742673.0,5742673,63527-52-6,60846-21-1,,,,,,,,,
DB00494,Entacapone,130929-57-6,5281081.0,5281081,130929-57-6,,,,,,,,,,
DB00495,Zidovudine,30516-87-1,35370.0,35370,30516-87-1,,,,,,,,,,
DB00496,Darifenacin,133099-04-4,444031.0,444031,133099-04-4,,,,,,,,,,
DB00497,Oxycodone,76-42-6,5284603.0,5284603,76-42-6,124-90-3,,,,,,,,,
DB00498,Phenindione,83-12-5,4760.0,4760,83-12-5,,,,,,,,,,
DB00499,Flutamide,13311-84-7,3397.0,3397,13311-84-7,,,,,,,,,,
DB00500,Tolmetin,26171-23-3,5509.0,5509,26171-23-3,,,,,,,,,,
DB00501,Cimetidine,51481-61-9,2756.0,2756,51481-61-9,,,,,,,,,,
DB00502,Haloperidol,52-86-8,3559.0,3559,52-86-8,8058-57-9,61788-97-4,,,,,,,,
DB00503,Ritonavir,155213-67-5,392622.0,392622,155213-67-5,,,,,,,,,,
DB00504,Levallorphan,152-02-3,5359371.0,5359371,152-02-3,,,,,,,,,,
DB00507,Nitazoxanide,55981-09-4,41684.0,41684,55981-09-4,,,,,,,,,,
DB00508,Triflupromazine,146-54-3,5568.0,5568,146-54-3,,,,,,,,,,
DB00509,Dextrothyroxine,51-49-0,8730.0,8730,51-49-0,,,,,,,,,,
DB00511,Acetyldigitoxin,1111-39-3,5284512.0,5284512,1111-39-3,25395-32-8,,,,,,,,,
DB00512,Vancomycin,1404-90-6,14969.0,14969,1404-90-6,,,,,,,,,,
DB00513,Aminocaproic acid,60-32-2,564.0,564,60-32-2,1319-82-0,,,,,,,,,
DB00514,Dextromethorphan,125-71-3,5360696.0,5360696,125-71-3,,,,,,,,,,
DB00515,Cisplatin,15663-27-1,2767.0,441203,15663-27-1,,,,,,,,,,
DB00517,Anisotropine methylbromide,80-50-2,21867154.0,21867154,80-50-2,,,,,,,,,,
DB00518,Albendazole,54965-21-8,2082.0,2082,54965-21-8,,,,,,,,,,
DB00519,Trandolapril,87679-37-6,5484727.0,5484727,87679-37-6,,,,,,,,,,
DB00520,Caspofungin,162808-62-0,3035406.0,3035406,162808-62-0,179463-17-3,,,,,,,,,
DB00521,Carteolol,51781-06-7,2583.0,2583,51781-06-7,,,,,,,,,,
DB00523,Alitretinoin,5300-03-8,449171.0,449171,5300-03-8,,,,,,,,,,
DB00524,Metolazone,17560-51-9,4170.0,4170,17560-51-9,56436-31-8,56436-32-9,,,,,,,,
DB00525,Tolnaftate,2398-96-1,5510.0,5510,2398-96-1,,,,,,,,,,
DB00526,Oxaliplatin,61825-94-3,6857599.0,6857599,61825-94-3,,,,,,,,,,
DB00527,Cinchocaine,85-79-0,3025.0,3025,85-79-0,,,,,,,,,,
DB00528,Lercanidipine,100427-26-7,65866.0,65866,100427-26-7,,,,,,,,,,
DB00529,Foscarnet,4428-95-9,3415.0,3415,4428-95-9,63585-09-1,,,,,,,,,
DB00530,Erlotinib,183321-74-6,176870.0,176870,183321-74-6,,,,,,,,,,
DB00531,Cyclophosphamide,50-18-0,2907.0,2907,50-18-0,6055-19-2,,,,,,,,,
DB00532,Mephenytoin,50-12-4,4060.0,4060,50-12-4,,,,,,,,,,
DB00533,Rofecoxib,162011-90-7,5090.0,5090,162011-90-7,,,,,,,,,,
DB00534,Chlormerodrin,62-37-3,25210.0,25210,62-37-3,,,,,,,,,,
DB00535,Cefdinir,91832-40-5,6915944.0,6915944,91832-40-5,,,,,,,,,,
DB00536,Guanidine,113-00-8,3520.0,3520,113-00-8,50-01-1,,,,,,,,,
DB00537,Ciprofloxacin,85721-33-1,2764.0,2764,85721-33-1,,,,,,,,,,
DB00538,Gadoversetamide,131069-91-5,444013.0,444013,131069-91-5,,,,,,,,,,
DB00539,Toremifene,89778-26-7,3005573.0,3005573,89778-26-7,,,,,,,,,,
DB00540,Nortriptyline,72-69-5,4543.0,4543,72-69-5,,,,,,,,,,
DB00541,Vincristine,57-22-7,5978.0,5388993,57-22-7,,,,,,,,,,
DB00542,Benazepril,86541-75-5,5362124.0,5362124,86541-75-5,,,,,,,,,,
DB00543,Amoxapine,14028-44-5,2170.0,2170,14028-44-5,,,,,,,,,,
DB00544,Fluorouracil,51-21-8,3385.0,3385,51-21-8,,,,,,,,,,
DB00545,Pyridostigmine,155-97-5,4991.0,4991,155-97-5,,,,,,,,,,
DB00547,Desoximetasone,382-67-2,5311067.0,5311067,140218-14-0,382-67-2,,,,,,,,,
DB00548,Azelaic acid,123-99-9,2266.0,2266,123-99-9,26776-28-3,27825-99-6,,,,,,,,
DB00549,Zafirlukast,107753-78-6,5717.0,5717,107753-78-6,,,,,,,,,,
DB00550,Propylthiouracil,51-52-5,657298.0,657298,51-52-5,,,,,,,,,,
DB00551,Acetohydroxamic acid,546-88-3,1990.0,1990,546-88-3,,,,,,,,,,
DB00552,Pentostatin,53910-25-1,439693.0,439693,53910-25-1,,,,,,,,,,
DB00553,Methoxsalen,298-81-7,4114.0,4114,298-81-7,,,,,,,,,,
DB00554,Piroxicam,36322-90-4,54676228.0,54676228,36322-90-4,,,,,,,,,,
DB00555,Lamotrigine,84057-84-1,3878.0,3878,84057-84-1,,,,,,,,,,
DB00556,Perflutren,76-19-7,6432.0,6432,76-19-7,9048-46-8,,,,,,,,,
DB00557,Hydroxyzine,68-88-2,3658.0,3658,68-88-2,,,,,,,,,,
DB00558,Zanamivir,139110-80-8,60855.0,60855,139110-80-8,,,,,,,,,,
DB00559,Bosentan,147536-97-8,104865.0,104865,147536-97-8,,,,,,,,,,
DB00560,Tigecycline,220620-09-7,54686904.0,54686904,220620-09-7,,,,,,,,,,
DB00561,Doxapram,309-29-5,3156.0,3156,309-29-5,,,,,,,,,,
DB00562,Benzthiazide,91-33-8,2343.0,2343,91-33-8,,,,,,,,,,
DB00563,Methotrexate,59-05-2,126941.0,126941,59-05-2,,,,,,,,,,
DB00564,Carbamazepine,298-46-4,2554.0,2554,298-46-4,,,,,,,,,,
DB00565,Cisatracurium,96946-41-7,62886.0,62887,96946-41-7,,,,,,,,,,
DB00566,Succimer,304-55-2,2724354.0,2724354,304-55-2,,,,,,,,,,
DB00567,Cephalexin,15686-71-2,27447.0,27447,15686-71-2,,,,,,,,,,
DB00568,Cinnarizine,298-57-7,2761.0,2761,298-57-7,,,,,,,,,,
DB00569,Fondaparinux,104993-28-4,49852292.0,5282448,104993-28-4,114870-03-0,,,,,,,,,
DB00570,Vinblastine,865-21-4,13342.0,13342,865-21-4,,,,,,,,,,
DB00571,Propranolol,525-66-6,4946.0,4946,525-66-6,4199-09-1,13013-17-7,83952-37-8,,,,,,,
DB00572,Atropine,51-55-8,174174.0,174174,51-55-8,101-31-5,,,,,,,,,
DB00573,Fenoprofen,29679-58-1,3342.0,3342,29679-58-1,34597-40-5,53746-45-5,31879-05-7,,,,,,,
DB00574,Fenfluramine,458-24-2,3337.0,3337,458-24-2,,,,,,,,,,
DB00575,Clonidine,4205-90-7,2803.0,2803,4205-90-7,,,,,,,,,,
DB00576,Sulfamethizole,144-82-1,5328.0,5328,144-82-1,,,,,,,,,,
DB00577,Valaciclovir,124832-26-4,60773.0,135398742,124832-26-4,124832-27-5,,,,,,,,,
DB00578,Carbenicillin,4697-36-3,20824.0,20824,4697-36-3,,,,,,,,,,
DB00579,Mazindol,22232-71-9,4020.0,4020,22232-71-9,,,,,,,,,,
DB00580,Valdecoxib,181695-72-7,119607.0,119607,181695-72-7,,,,,,,,,,
DB00581,Lactulose,4618-18-2,11333.0,11333,4618-18-2,58166-24-8,58166-25-9,,,,,,,,
DB00582,Voriconazole,137234-62-9,71616.0,71616,188416-29-7,137234-62-9,,,,,,,,,
DB00583,Levocarnitine,541-15-1,10917.0,10917,541-15-1,,,,,,,,,,
DB00584,Enalapril,75847-73-3,5388962.0,5388962,75847-73-3,,,,,,,,,,
DB00585,Nizatidine,76963-41-2,3033637.0,3033637,76963-41-2,,,,,,,,,,
DB00586,Diclofenac,15307-86-5,3033.0,3033,15307-86-5,,,,,,,,,,
