DrugBank ID,Name,CAS Number,PubChem Compound ID,PubChem_CID,CAS_Rn0,CAS_Rn1,CAS_Rn2,CAS_Rn3,CAS_Rn4,CAS_Rn5,CAS_Rn6,CAS_Rn7,CAS_Rn8,CAS_Rn9,CAS_Rn10
DB01002,Levobupivacaine,27262-47-1,92253.0,92253,27262-47-1,,,,,,,,,,
DB01003,Cromoglicic acid,16110-51-3,2882.0,2882,16110-51-3,,,,,,,,,,
DB01004,Ganciclovir,82410-32-0,3454.0,135398740,82410-32-0,,,,,,,,,,
DB01005,Hydroxyurea,127-07-1,3657.0,3657,127-07-1,8029-68-3,,,,,,,,,
DB01006,Letrozole,112809-51-5,3902.0,3902,112809-51-5,,,,,,,,,,
DB01007,Tioconazole,65899-73-2,5482.0,5482,65899-73-2,,,,,,,,,,
DB01008,Busulfan,55-98-1,2478.0,2478,55-98-1,,,,,,,,,,
DB01009,Ketoprofen,22071-15-4,3825.0,3825,22071-15-4,,,,,,,,,,
DB01010,Edrophonium,312-48-1,3202.0,3202,312-48-1,116-38-1,,,,,,,,,
DB01011,Metyrapone,54-36-4,4174.0,4174,54-36-4,,,,,,,,,,
DB01012,Cinacalcet,226256-56-0,156419.0,156419,226256-56-0,,,,,,,,,,
DB01013,Clobetasol propionate,25122-46-7,32798.0,32798,25122-46-7,,,,,,,,,,
DB01014,Balsalazide,80573-04-2,6335412.0,54585,80573-04-2,150399-21-6,213594-60-6,,,,,,,,
DB01015,Sulfamethoxazole,723-46-6,5329.0,5329,723-46-6,144930-01-8,144993-89-5,,,,,,,,
DB01016,Glyburide,10238-21-8,3488.0,3488,10238-21-8,,,,,,,,,,
DB01017,Minocycline,10118-90-8,54675783.0,54675783,10118-90-8,,,,,,,,,,
DB01018,Guanfacine,29110-47-2,3519.0,3519,29110-47-2,,,,,,,,,,
DB01019,Bethanechol,674-38-4,2370.0,2370,674-38-4,,,,,,,,,,
DB01020,Isosorbide mononitrate,16051-77-7,27661.0,27661,16051-77-7,,,,,,,,,,
DB01021,Trichlormethiazide,133-67-5,5560.0,5560,133-67-5,,,,,,,,,,
DB01022,Phylloquinone,84-80-0,5284607.0,5284607,79083-00-4,84-80-0,11104-38-4,12001-79-5,,,,,,,
DB01023,Felodipine,72509-76-3,3333.0,3333,72509-76-3,,,,,,,,,,
DB01024,Mycophenolic acid,24280-93-1,446541.0,446541,24280-93-1,483-60-3,,,,,,,,,
DB01025,Amlexanox,68302-57-8,2161.0,2161,68302-57-8,,,,,,,,,,
DB01026,Ketoconazole,65277-42-1,3823.0,3823,65277-42-1,79156-75-5,,,,,,,,,
DB01028,Methoxyflurane,76-38-0,4116.0,4116,76-38-0,,,,,,,,,,
DB01029,Irbesartan,138402-11-6,3749.0,3749,138402-11-6,,,,,,,,,,
DB01030,Topotecan,123948-87-8,60700.0,60700,123948-87-8,119413-54-6,,,,,,,,,
DB01031,Ethinamate,126-52-3,3284.0,3284,126-52-3,,,,,,,,,,
DB01032,Probenecid,57-66-9,4911.0,4911,57-66-9,,,,,,,,,,
DB01033,Mercaptopurine,50-44-2,667490.0,667490,50-44-2,1194-62-3,6112-76-1,31441-78-8,,,,,,,
DB01035,Procainamide,51-06-9,4913.0,4913,51-06-9,,,,,,,,,,
DB01036,Tolterodine,124937-51-5,443879.0,443879,124937-51-5,,,,,,,,,,
DB01037,Selegiline,14611-51-9,26757.0,26757,14611-51-9,,,,,,,,,,
DB01039,Fenofibrate,49562-28-9,3339.0,3339,49562-28-9,,,,,,,,,,
DB01041,Thalidomide,50-35-1,5426.0,5426,50-35-1,841-67-8,2614-06-4,,,,,,,,
DB01042,Melphalan,148-82-3,460612.0,460612,148-82-3,3223-07-2,,,,,,,,,
DB01043,Memantine,19982-08-2,4054.0,4054,19982-08-2,,,,,,,,,,
DB01044,Gatifloxacin,112811-59-3,5379.0,5379,112811-59-3,,,,,,,,,,
DB01045,Rifampicin,13292-46-1,5381226.0,135398735,13292-46-1,,,,,,,,,,
DB01046,Lubiprostone,136790-76-6,157920.0,157920,333963-40-9,136790-76-6,,,,,,,,,
DB01047,Fluocinonide,356-12-7,9642.0,9642,356-12-7,,,,,,,,,,
DB01048,Abacavir,136470-78-5,441300.0,441300,136470-78-5,,,,,,,,,,
DB01050,Ibuprofen,15687-27-1,3672.0,3672,15687-27-1,,,,,,,,,,
DB01051,Novobiocin,303-81-1,54675769.0,54675769,303-81-1,1476-53-5,,,,,,,,,
DB01053,Benzylpenicillin,61-33-6,5904.0,5904,61-33-6,,,,,,,,,,
DB01054,Nitrendipine,39562-70-4,4507.0,4507,39562-70-4,86052-02-0,,,,,,,,,
DB01056,Tocainide,41708-72-9,38945.0,38945,41708-72-9,53984-26-2,71395-14-7,76213-25-7,,,,,,,
DB01057,Echothiophate,6736-03-4,10548.0,10548,6736-03-4,513-10-0,,,,,,,,,
DB01058,Praziquantel,55268-74-1,4891.0,4891,55268-74-1,135526-78-2,,,,,,,,,
DB01059,Norfloxacin,70458-96-7,4539.0,4539,70458-96-7,,,,,,,,,,
DB01060,Amoxicillin,26787-78-0,33613.0,33613,26787-78-0,,,,,,,,,,
DB01061,Azlocillin,37091-66-0,6479523.0,6479523,37091-66-0,37091-65-9,,,,,,,,,
DB01062,Oxybutynin,5633-20-5,4634.0,4634,5633-20-5,,,,,,,,,,
DB01063,Acetophenazine,2751-68-0,17676.0,17676,2751-68-0,5714-00-1,,,,,,,,,
DB01064,Isoprenaline,7683-59-2,3779.0,3779,7683-59-2,,,,,,,,,,
DB01065,Melatonin,73-31-4,896.0,896,73-31-4,,,,,,,,,,
DB01066,Cefditoren,104145-95-1,9870843.0,9870843,104145-95-1,117467-28-4,,,,,,,,,
DB01067,Glipizide,29094-61-9,3478.0,3478,29094-61-9,,,,,,,,,,
DB01068,Clonazepam,1622-61-3,2802.0,2802,1622-61-3,,,,,,,,,,
DB01069,Promethazine,60-87-7,4927.0,4927,60-87-7,38878-40-9,,,,,,,,,
DB01070,Dihydrotachysterol,67-96-9,5311071.0,5311071,67-96-9,,,,,,,,,,
DB01072,Atazanavir,198904-31-3,148192.0,148192,198904-31-3,,,,,,,,,,
DB01073,Fludarabine,21679-14-1,657237.0,657237,21679-14-1,,,,,,,,,,
DB01074,Perhexiline,6621-47-2,4746.0,4746,39648-47-0,6621-47-2,39648-48-1,35193-73-8,,,,,,,
DB01075,Diphenhydramine,58-73-1,3100.0,3100,58-73-1,147-24-0,,,,,,,,,
DB01076,Atorvastatin,134523-00-5,60823.0,60823,134523-00-5,110862-48-1,134523-03-8,,,,,,,,
DB01077,Etidronic acid,2809-21-4,3305.0,3305,2809-21-4,7414-83-7,,,,,,,,,
DB01078,Deslanoside,17598-65-1,28620.0,28620,17598-65-1,,,,,,,,,,
DB01079,Tegaserod,145158-71-0,5362436.0,135409453,145158-71-0,189188-57-6,,,,,,,,,
DB01080,Vigabatrin,68506-86-5,5665.0,5665,68506-86-5,60643-86-9,,,,,,,,,
DB01081,Diphenoxylate,915-30-0,13505.0,13505,915-30-0,,,,,,,,,,
DB01082,Streptomycin,57-92-1,19649.0,19649,57-92-1,3810-74-0,,,,,,,,,
DB01083,Orlistat,96829-58-2,3034010.0,3034010,96829-58-2,,,,,,,,,,
DB01084,Emedastine,87233-61-2,3219.0,3219,87233-61-2,,,,,,,,,,
DB01085,Pilocarpine,92-13-7,5910.0,5910,92-13-7,54-71-7,,,,,,,,,
DB01086,Benzocaine,94-09-7,2337.0,2337,94-09-7,9011-18-1,9042-14-2,,,,,,,,
DB01087,Primaquine,90-34-6,4908.0,4908,90-34-6,,,,,,,,,,
DB01088,Iloprost,78919-13-8,5311181.0,5311181,78919-13-8,,,,,,,,,,
DB01089,Deserpidine,131-01-1,8550.0,8550,131-01-1,,,,,,,,,,
DB01090,Pentolinium,144-44-5,5850.0,5850,144-44-5,52-62-0,,,,,,,,,
DB01091,Butenafine,101828-21-1,2484.0,2484,101828-21-1,,,,,,,,,,
DB01092,Ouabain,630-60-4,439501.0,439501,630-60-4,,,,,,,,,,
DB01093,Dimethyl sulfoxide,67-68-5,679.0,679,67-68-5,,,,,,,,,,
DB01095,Fluvastatin,93957-54-1,1548972.0,1548972,93957-54-1,,,,,,,,,,
DB01096,Oxamniquine,21738-42-1,4612.0,4612,21738-42-1,40247-39-0,119678-90-9,,,,,,,,
DB01097,Leflunomide,75706-12-6,3899.0,3899,75706-12-6,,,,,,,,,,
DB01098,Rosuvastatin,287714-41-4,446157.0,446157,287714-41-4,,,,,,,,,,
DB01099,Flucytosine,2022-85-7,3366.0,3366,2022-85-7,,,,,,,,,,
DB01100,Pimozide,2062-78-4,16362.0,16362,2062-78-4,,,,,,,,,,
DB01101,Capecitabine,154361-50-9,60953.0,60953,154361-50-9,,,,,,,,,,
DB01102,Arbutamine,128470-16-6,60789.0,60789,128470-16-6,,,,,,,,,,
DB01104,Sertraline,79617-96-2,68617.0,68617,79617-96-2,79617-95-1,,,,,,,,,
DB01105,Sibutramine,106650-56-0,5210.0,5210,106650-56-0,,,,,,,,,,
DB01106,Levocabastine,79516-68-0,54385.0,54385,79449-98-2,79516-68-0,,,,,,,,,
DB01107,Methyprylon,125-64-4,4162.0,4162,125-64-4,30590-00-2,30590-01-3,,,,,,,,
DB01108,Trilostane,13647-35-3,656583.0,656583,13647-35-3,,,,,,,,,,
DB01110,Miconazole,22916-47-8,4189.0,4189,22916-47-8,,,,,,,,,,
DB01111,Colistimethate,12705-41-8,70789202.0,70789202,12705-41-8,,,,,,,,,,
DB01112,Cefuroxime,55268-75-2,5479529.0,5479529,55268-75-2,,,,,,,,,,
DB01113,Papaverine,58-74-2,4680.0,4680,58-74-2,61-25-6,,,,,,,,,
DB01114,Chlorpheniramine,132-22-9,2725.0,2725,113-92-8,132-22-9,,,,,,,,,
DB01115,Nifedipine,21829-25-4,4485.0,4485,21829-25-4,193689-82-6,915092-63-6,1173023-46-5,1219798-99-8,,,,,,
DB01116,Trimethaphan,7187-66-8,23576.0,23576,7187-66-8,,,,,,,,,,
DB01117,Atovaquone,95233-18-4,74989.0,74989,94015-53-9,95233-18-4,137732-39-9,,,,,,,,
DB01118,Amiodarone,1951-25-3,2157.0,2157,1951-25-3,,,,,,,,,,
DB01119,Diazoxide,364-98-7,3019.0,3019,364-98-7,,,,,,,,,,
DB01120,Gliclazide,21187-98-4,3475.0,3475,21187-98-4,,,,,,,,,,
DB01121,Phenacemide,63-98-9,4753.0,4753,63-98-9,,,,,,,,,,
DB01122,Ambenonium,7648-98-8,2131.0,2131,7648-98-8,,,,,,,,,,
DB01123,Proflavine,92-62-6,7099.0,7099,92-62-6,1811-28-5,,,,,,,,,
DB01124,Tolbutamide,64-77-7,5505.0,5505,64-77-7,,,,,,,,,,
DB01125,Anisindione,117-37-3,2197.0,2197,117-37-3,,,,,,,,,,
DB01126,Dutasteride,164656-23-9,6918296.0,6918296,164656-23-9,,,,,,,,,,
DB01127,Econazole,27220-47-9,3198.0,3198,27220-47-9,,,,,,,,,,
DB01128,Bicalutamide,90357-06-5,2375.0,2375,90357-06-5,,,,,,,,,,
DB01129,Rabeprazole,117976-89-3,5029.0,5029,117976-89-3,,,,,,,,,,
DB01130,Prednicarbate,73771-04-7,6714002.0,6714002,73771-04-7,,,,,,,,,,
DB01131,Proguanil,500-92-5,4923.0,6178111,500-92-5,,,,,,,,,,
DB01132,Pioglitazone,111025-46-8,4829.0,4829,111025-46-8,112529-15-4,1134163-31-7,105390-47-4,,,,,,,
DB01133,Tiludronic acid,89987-06-4,60937.0,60937,89987-06-4,,,,,,,,,,
DB01135,Doxacurium,106791-39-3,5284551.0,60169,133814-18-3,106791-39-3,106819-53-8,,,,,,,,
DB01136,Carvedilol,72956-09-3,2585.0,2585,72956-09-3,,,,,,,,,,
DB01137,Levofloxacin,100986-85-4,149096.0,149096,100986-85-4,,,,,,,,,,
DB01138,Sulfinpyrazone,57-96-5,5342.0,5342,57-96-5,,,,,,,,,,
DB01139,Cefapirin,21593-23-7,30699.0,30699,21593-23-7,24356-60-3,,,,,,,,,
DB01140,Cefadroxil,50370-12-2,47965.0,47965,50370-12-2,66592-87-8,,,,,,,,,
DB01141,Micafungin,235114-32-6,477468.0,477468,235114-32-6,,,,,,,,,,
DB01142,Doxepin,1668-19-5,667468.0,667468,3607-18-9,1668-19-5,,,,,,,,,
DB01143,Amifostine,20537-88-6,2141.0,2141,20537-88-6,,,,,,,,,,
DB01144,Diclofenamide,120-97-8,3038.0,3038,120-97-8,,,,,,,,,,
DB01145,Sulfoxone,144-76-3,5351.0,5351,144-76-3,144-75-2,,,,,,,,,
DB01146,Diphenylpyraline,147-20-6,3103.0,3103,147-20-6,,,,,,,,,,
DB01147,Cloxacillin,61-72-3,6098.0,6098,61-72-3,642-78-4,7081-44-9,,,,,,,,
DB01148,Flavoxate,15301-69-6,3354.0,3354,15301-69-6,,,,,,,,,,
DB01149,Nefazodone,83366-66-9,4449.0,4449,83366-66-9,82752-99-6,,,,,,,,,
DB01150,Cefprozil,92665-29-7,5281006.0,5281006,92676-86-3,92665-29-7,121123-17-9,,,,,,,,
DB01151,Desipramine,50-47-5,2995.0,2995,50-47-5,,,,,,,,,,
DB01152,Candicidin,1403-17-4,,10079874,1403-17-4,39372-30-0,137397-23-0,,,,,,,,
DB01153,Sertaconazole,99592-32-2,65863.0,65863,99592-32-2,,,,,,,,,,
DB01154,Thiamylal,77-27-0,3032285.0,3032285,77-27-0,,,,,,,,,,
DB01155,Gemifloxacin,175463-14-6,9571107.0,9571107,175463-14-6,,,,,,,,,,
DB01156,Bupropion,34911-55-2,444.0,444,34911-55-2,144445-76-1,144445-75-0,34841-39-9,,,,,,,
DB01157,Trimetrexate,52128-35-5,5583.0,5583,52128-35-5,,,,,,,,,,
DB01158,Bretylium,59-41-6,2431.0,2431,59-41-6,,,,,,,,,,
DB01159,Halothane,151-67-7,3562.0,3562,151-67-7,,,,,,,,,,
DB01160,Dinoprost tromethamine,38562-01-5,5282415.0,5282415,38562-01-5,,,,,,,,,,
DB01161,Chloroprocaine,133-16-4,8612.0,8612,133-16-4,,,,,,,,,,
DB01162,Terazosin,63590-64-7,5401.0,5401,63590-64-7,141269-44-5,141269-45-6,,,,,,,,
DB01164,Calcium chloride,10043-52-4,5284359.0,5284359,10043-52-4,14639-81-7,,,,,,,,,
DB01165,Ofloxacin,82419-36-1,4583.0,4583,82419-36-1,83380-47-6,,,,,,,,,
DB01166,Cilostazol,73963-72-1,2754.0,2754,73963-72-1,,,,,,,,,,
DB01167,Itraconazole,84625-61-6,55283.0,55283,84625-61-6,84604-65-9,,,,,,,,,
DB01168,Procarbazine,671-16-9,4915.0,4915,671-16-9,366-70-1,,,,,,,,,
DB01169,Arsenic trioxide,1327-53-3,261004.0,261004,1327-53-3,,,,,,,,,,
DB01170,Guanethidine,55-65-2,3518.0,3518,55-65-2,645-43-2,,,,,,,,,
DB01171,Moclobemide,71320-77-9,4235.0,4235,71320-77-9,,,,,,,,,,
DB01172,Kanamycin,59-01-8,6032.0,6032,59-01-8,8063-07-8,,,,,,,,,
DB01173,Orphenadrine,83-98-7,4601.0,4601,83-98-7,,,,,,,,,,
DB01174,Phenobarbital,50-06-6,4763.0,4763,50-06-6,,,,,,,,,,
DB01175,Escitalopram,128196-01-0,146570.0,146570,128196-01-0,,,,,,,,,,
DB01176,Cyclizine,82-92-8,6726.0,6726,82-92-8,,,,,,,,,,
DB01177,Idarubicin,58957-92-9,42890.0,42890,58957-92-9,,,,,,,,,,
DB01178,Chlormezanone,80-77-3,2717.0,2717,80-77-3,102818-66-6,102818-67-7,,,,,,,,
DB01179,Podofilox,518-28-5,10607.0,10607,518-28-5,477-47-4,,,,,,,,,
DB01180,Rescinnamine,24815-24-5,32681.0,32681,24815-24-5,,,,,,,,,,
DB01181,Ifosfamide,3778-73-2,3690.0,3690,3778-73-2,,,,,,,,,,
DB01182,Propafenone,54063-53-5,4932.0,4932,54063-53-5,107300-59-4,107381-31-7,,,,,,,,
DB01183,Naloxone,465-65-6,5284596.0,5284596,465-65-6,,,,,,,,,,
DB01184,Domperidone,57808-66-9,3151.0,3151,57808-66-9,,,,,,,,,,
DB01185,Fluoxymesterone,76-43-7,6446.0,6446,76-43-7,,,,,,,,,,
DB01186,Pergolide,66104-22-1,47811.0,47811,66104-22-1,,,,,,,,,,
DB01187,Iophendylate,99-79-6,3037234.0,3037234,1320-11-2,99-79-6,,,,,,,,,
DB01188,Ciclopirox,29342-05-0,2749.0,2749,29342-05-0,,,,,,,,,,
DB01189,Desflurane,57041-67-5,42113.0,42113,57041-67-5,,,,,,,,,,
DB01190,Clindamycin,18323-44-9,446598.0,29029,18323-44-9,,,,,,,,,,
DB01191,Dexfenfluramine,3239-44-9,66265.0,66265,3239-44-9,,,,,,,,,,
DB01192,Oxymorphone,76-41-5,5284604.0,5284604,76-41-5,,,,,,,,,,
DB01193,Acebutolol,37517-30-9,1978.0,1978,37517-30-9,,,,,,,,,,
DB01194,Brinzolamide,138890-62-7,68844.0,68844,138890-62-7,,,,,,,,,,
DB01195,Flecainide,54143-55-4,3356.0,3356,54143-55-4,,,,,,,,,,
DB01196,Estramustine,2998-57-4,259331.0,259331,2998-57-4,,,,,,,,,,
DB01197,Captopril,62571-86-2,44093.0,44093,62571-86-2,,,,,,,,,,
DB01198,Zopiclone,43200-80-2,5735.0,5735,43200-80-2,,,,,,,,,,
DB01199,Tubocurarine,57-95-4,6000.0,6000,57-95-4,57-94-3,6989-98-6,,,,,,,,
DB01200,Bromocriptine,25614-03-3,31101.0,31101,25614-03-3,,,,,,,,,,
DB01201,Rifapentine,61379-65-5,6323497.0,135403821,61379-65-5,,,,,,,,,,
DB01202,Levetiracetam,102767-28-2,5284583.0,5284583,102767-28-2,,,,,,,,,,
DB01203,Nadolol,42200-33-9,39147.0,39147,42200-33-9,220045-89-6,,,,,,,,,
DB01204,Mitoxantrone,65271-80-9,4212.0,4212,65271-80-9,70476-82-3,,,,,,,,,
DB01205,Flumazenil,78755-81-4,3373.0,3373,78755-81-4,,,,,,,,,,
DB01206,Lomustine,13010-47-4,3950.0,3950,13010-47-4,,,,,,,,,,
DB01208,Sparfloxacin,110871-86-8,60464.0,60464,110871-86-8,111542-93-9,,,,,,,,,
DB01209,Dezocine,53648-55-8,3033053.0,3033053,53648-55-8,,,,,,,,,,
DB01210,Levobunolol,47141-42-4,39468.0,39468,47141-42-4,,,,,,,,,,
DB01211,Clarithromycin,81103-11-9,84029.0,84029,81103-11-9,,,,,,,,,,
DB01212,Ceftriaxone,73384-59-5,5479530.0,5479530,73384-59-5,74578-69-1,104376-79-6,,,,,,,,
DB01213,Fomepizole,7554-65-6,3406.0,3406,7554-65-6,,,,,,,,,,
DB01214,Metipranolol,22664-55-7,31477.0,31477,22664-55-7,,,,,,,,,,
DB01215,Estazolam,29975-16-4,3261.0,3261,29975-16-4,,,,,,,,,,
DB01216,Finasteride,98319-26-7,57363.0,57363,98319-26-7,,,,,,,,,,
DB01217,Anastrozole,120511-73-1,2187.0,2187,120511-73-1,,,,,,,,,,
DB01218,Halofantrine,69756-53-2,37393.0,37393,69756-53-2,66051-76-1,66051-74-9,,,,,,,,
DB01219,Dantrolene,7261-97-4,6914273.0,6914273,7261-97-4,,,,,,,,,,
DB01220,Rifaximin,80621-81-4,6436173.0,6436173,80621-81-4,,,,,,,,,,
DB01221,Ketamine,6740-88-1,3821.0,3821,6740-88-1,,,,,,,,,,
DB01222,Budesonide,51333-22-3,5281004.0,5281004,51333-22-3,51372-29-3,,,,,,,,,
DB01223,Aminophylline,317-34-0,9433.0,9433,317-34-0,95646-60-9,,,,,,,,,
DB01224,Quetiapine,111974-69-7,5002.0,5002,111974-69-7,,,,,,,,,,
DB01226,Mivacurium,133814-19-4,5281042.0,5281042,133814-19-4,106791-40-6,106861-44-3,,,,,,,,
DB01227,Levacetylmethadol,1477-40-3,15130.0,15130,1477-40-3,,,,,,,,,,
DB01228,Encainide,66778-36-7,48041.0,48041,66778-36-7,37612-13-8,,,,,,,,,
DB01229,Paclitaxel,33069-62-4,36314.0,36314,33069-62-4,,,,,,,,,,
DB01230,Pemoline,2152-34-3,4723.0,4723,2152-34-3,,,,,,,,,,
DB01231,Diphenidol,972-02-1,3055.0,3055,972-02-1,,,,,,,,,,
DB01232,Saquinavir,127779-20-8,441243.0,441243,127779-20-8,,,,,,,,,,
DB01233,Metoclopramide,364-62-5,4168.0,4168,364-62-5,,,,,,,,,,
DB01234,Dexamethasone,50-02-2,5743.0,5743,50-02-2,23495-06-9,,,,,,,,,
DB01235,Levodopa,59-92-7,6047.0,6047,59-92-7,,,,,,,,,,
DB01236,Sevoflurane,28523-86-6,5206.0,5206,28523-86-6,,,,,,,,,,
DB01237,Bromodiphenhydramine,118-23-0,2444.0,2444,118-23-0,1808-12-4,,,,,,,,,
DB01238,Aripiprazole,129722-12-9,60795.0,60795,129722-12-9,,,,,,,,,,
DB01239,Chlorprothixene,113-59-7,667466.0,667467,113-59-7,,,,,,,,,,
DB01240,Epoprostenol,35121-78-9,5280427.0,5282411,35121-78-9,,,,,,,,,,
DB01241,Gemfibrozil,25812-30-0,3463.0,3463,25812-30-0,,,,,,,,,,
DB01242,Clomipramine,303-49-1,2801.0,2801,303-49-1,,,,,,,,,,
DB01243,Chloroxine,773-76-2,2722.0,2722,773-76-2,,,,,,,,,,
DB01244,Bepridil,64706-54-3,2351.0,2351,64706-54-3,,,,,,,,,,
DB01245,Decamethonium,156-74-1,2968.0,2968,156-74-1,,,,,,,,,,
DB01246,Alimemazine,84-96-8,5574.0,5574,84-96-8,,,,,,,,,,
DB01247,Isocarboxazid,59-63-2,3759.0,3759,59-63-2,,,,,,,,,,
DB01248,Docetaxel,114977-28-5,148124.0,148124,114977-28-5,148408-66-6,,,,,,,,,
DB01249,Iodixanol,92339-11-2,3724.0,3724,92339-11-2,,,,,,,,,,
DB01250,Olsalazine,15722-48-2,6003770.0,22419,15722-48-2,,,,,,,,,,
DB01251,Gliquidone,33342-05-1,91610.0,91610,33342-05-1,,,,,,,,,,
DB01253,Ergometrine,60-79-7,443884.0,443884,60-79-7,,,,,,,,,,
DB01254,Dasatinib,302962-49-8,3062316.0,3062316,302962-49-8,863127-77-9,,,,,,,,,
DB01255,Lisdexamfetamine,608137-32-2,11597698.0,11597698,608137-32-2,,,,,,,,,,
DB01256,Retapamulin,224452-66-8,6918462.0,6918462,224452-66-8,,,,,,,,,,
DB01259,Lapatinib,231277-92-2,208908.0,208908,231277-92-2,388082-78-8,913989-15-8,,,,,,,,
DB01260,Desonide,638-94-8,5311066.0,5311066,638-94-8,,,,,,,,,,
DB01261,Sitagliptin,486460-32-6,4369359.0,4369359,486460-32-6,,,,,,,,,,
DB01262,Decitabine,2353-33-5,451668.0,451668,2353-33-5,,,,,,,,,,
DB01263,Posaconazole,171228-49-2,468595.0,468595,171228-49-2,,,,,,,,,,
DB01264,Darunavir,206361-99-1,213039.0,213039,206361-99-1,,,,,,,,,,
DB01265,Telbivudine,3424-98-4,159269.0,159269,3424-98-4,,,,,,,,,,
DB01267,Paliperidone,144598-75-4,115237.0,115237,144598-75-4,,,,,,,,,,
DB01268,Sunitinib,557795-19-4,5329102.0,5329102,557795-19-4,,,,,,,,,,
DB01273,Varenicline,249296-44-4,5310966.0,170361,249296-44-4,,,,,,,,,,
DB01274,Arformoterol,67346-49-0,3083544.0,3083544,67346-49-0,43229-80-7,73573-87-2,183814-30-4,,,,,,,
DB01275,Hydralazine,86-54-4,3637.0,3637,86-54-4,,,,,,,,,,
DB01278,Pramlintide,151126-32-8,,137699448,151126-32-8,,,,,,,,,,
DB01280,Nelarabine,121032-29-9,3011155.0,3011155,121032-29-9,,,,,,,,,,
DB01282,Carbetocin,37025-55-1,16681432.0,16681432,37025-55-1,,,,,,,,,,
DB01283,Lumiracoxib,220991-20-8,151166.0,151166,220991-20-8,,,,,,,,,,
DB01284,Tetracosactide,16960-16-0,16133751.0,16133751,16960-16-0,,,,,,,,,,
DB01288,Fenoterol,13392-18-2,3343.0,3343,13392-18-2,,,,,,,,,,
DB01291,Pirbuterol,38677-81-5,4845.0,4845,38677-81-5,38029-10-6,,,,,,,,,
DB01294,Bismuth subsalicylate,14882-18-9,16682734.0,16682734,14882-18-9,,,,,,,,,,
DB01296,Glucosamine,3416-24-8,439213.0,439213,3416-24-8,,,,,,,,,,
DB01297,Practolol,6673-35-4,4883.0,4883,6673-35-4,,,,,,,,,,
DB01298,Sulfacytine,17784-12-2,5322.0,5322,17784-12-2,1401-49-6,,,,,,,,,
DB01299,Sulfadoxine,2447-57-6,17134.0,17134,2447-57-6,,,,,,,,,,
DB01301,Rolitetracycline,751-97-3,54682938.0,54682938,751-97-3,,,,,,,,,,
DB01303,Oxtriphylline,4499-40-5,656652.0,656652,4499-40-5,,,,,,,,,,
DB01319,Fosamprenavir,226700-79-4,131536.0,131536,226700-79-4,226700-81-8,,,,,,,,,
DB01320,Fosphenytoin,93390-81-9,56339.0,56339,93390-81-9,,,,,,,,,,
DB01322,Kava,9000-38-8,5281052.0,5281052,9000-38-8,,,,,,,,,,
DB01324,Polythiazide,346-18-9,4870.0,4870,346-18-9,96783-10-7,,,,,,,,,
DB01325,Quinethazone,73-49-4,6307.0,6307,73-49-4,,,,,,,,,,
DB01326,Cefamandole,34444-01-4,456255.0,456255,34444-01-4,30034-03-8,,,,,,,,,
DB01327,Cefazolin,25953-19-9,33255.0,33255,25953-19-9,27164-46-1,115850-11-8,,,,,,,,
DB01328,Cefonicid,61270-58-4,43594.0,43594,61270-58-4,,,,,,,,,,
DB01329,Cefoperazone,62893-19-0,44185.0,44187,62893-19-0,62893-20-3,113826-44-1,,,,,,,,
DB01330,Cefotetan,69712-56-7,53025.0,53025,69712-56-7,,,,,,,,,,
DB01331,Cefoxitin,35607-66-0,441199.0,441199,35607-66-0,,,,,,,,,,
DB01332,Ceftizoxime,68401-81-0,6533629.0,6533629,68401-81-0,,,,,,,,,,
DB01333,Cefradine,38821-53-3,38103.0,38103,38821-53-3,,,,,,,,,,
DB01336,Metocurine,5152-30-7,21233.0,21233,5152-30-7,,,,,,,,,,
DB01337,Pancuronium,16974-53-1,441289.0,441289,16974-53-1,15500-66-0,,,,,,,,,
DB01338,Pipecuronium,68399-58-6,50192.0,50192,68399-58-6,,,,,,,,,,
DB01339,Vecuronium,86029-43-8,39765.0,39765,86029-43-8,50700-72-6,,,,,,,,,
DB01340,Cilazapril,88768-40-5,56330.0,56330,88768-40-5,92077-78-6,,,,,,,,,
DB01345,Potassium cation,24203-36-9,5462222.0,813,24203-36-9,7440-09-7,,,,,,,,,
DB01346,Quinidine barbiturate,,53461739.0,53461739,,,,,,,,,,,
DB01348,Spirapril,83647-97-6,5311447.0,5311447,83647-97-6,,,,,,,,,,
DB01351,Amobarbital,57-43-2,2164.0,2164,57-43-2,,,,,,,,,,
DB01353,Butobarbital,77-28-1,6473.0,6473,77-28-1,,,,,,,,,,
DB01357,Mestranol,72-33-3,6291.0,6291,72-33-3,,,,,,,,,,
DB01359,Penbutolol,38363-40-5,37464.0,37464,38363-40-5,36507-48-9,38363-32-5,,,,,,,,
DB01362,Iohexol,66108-95-0,3730.0,3730,66108-95-0,,,,,,,,,,
DB01364,Ephedrine,299-42-3,9294.0,9294,299-42-3,,,,,,,,,,
DB01365,Mephentermine,100-92-5,3677.0,3677,100-92-5,,,,,,,,,,
DB01366,Procaterol,72332-33-3,688561.0,688561,72332-33-3,,,,,,,,,,
DB01367,Rasagiline,136236-51-6,3052776.0,3052776,136236-51-6,,,,,,,,,,
DB01369,Quinupristin,120138-50-3,5388937.0,5388937,120138-50-3,,,,,,,,,,
DB01370,Aluminium,7429-90-5,5359268.0,5359268,7429-90-5,91728-14-2,,,,,,,,,
